"WID","login_count","level"
W11680,4,1
W11681,1,1
W11682,10,9
W11683,1,1
W11684,116,22
W11685,3,1
W11686,18,12
W11687,7,10
W11688,54,15
W11689,1,1
W11690,8,9
W11691,9,13
W11692,1,1
W11693,4,1
W11694,6,11
W11695,6,4
W11696,4,1
W11697,11,18
W11698,47,18
W11699,21,14
W11700,13,5
W11701,2,4
W11702,5,9
W11703,18,8
W11704,6,2
W11705,2,4
W11706,8,1
W11707,5,1
W11708,47,21
W11709,24,6
W11710,7,1
W11711,11,12
W11712,7,4
W11713,8,9
W11714,3,1
W11715,1,1
W11716,7,1
W11717,4,1
W11718,4,1
W11719,1,1
W11720,2,1
W11721,1,1
W11722,2,1
W11723,163,32
W11724,4,1
W11725,3,1
W11726,2,1
W11727,24,16
W11728,233,32
W11729,13,7
W11730,8,1
W11731,6,6
W11732,5,14
W11733,223,26
W11734,6,1
W11735,1,1
W11736,30,23
W11737,91,33
