"WID","login_count","level","playcount_sum","playtime_sum"
W11179,381,40,577,240631
W11181,5,5,6,1643
W11182,3,1,2,3109
W11183,2,1,1,1715
W11184,2,5,3,4737
W11185,2,3,1,822
W11186,34,15,31,20945
W11187,2,2,2,2165
W11188,2,1,1,1389
W11189,124,25,84,69495
W11190,9,17,27,19339
W11191,23,11,8,5467
W11192,17,17,21,21785
W11193,306,30,174,72522
W11194,2,1,2,1739
W11195,20,14,6,4821
W11196,134,15,10,11149
W11197,13,17,11,9667
W11198,385,41,249,182334
W11199,8,14,10,8861
W11200,277,42,449,257134
W11201,61,23,56,39558
W11202,2,6,1,1598
W11204,38,26,36,43167
W11205,1,1,1,653
W11206,2,1,1,144
W11208,39,18,7,5047
W11209,4,7,7,6449
W11210,5,1,3,3163
W11211,11,4,1,761
W11213,44,15,20,11440
W11214,88,21,52,35066
W11215,8,4,3,1872
W11216,4,1,1,89
W11217,2,1,1,0
W11218,14,6,2,2953
W11219,7,12,5,5506
W11221,117,25,83,67580
W11222,148,36,318,207615
W11223,577,49,774,427631
W11224,25,14,3,4654
W11225,14,22,19,14379
W11226,6,3,1,576
W11227,5,1,4,1880
W11228,16,20,58,36384
W11229,29,25,65,42057
W11230,21,9,4,2169
W11231,60,19,1,229
W11232,1445,54,1210,830583
W11234,10,2,3,3389
W11235,9,12,2,148
W11236,6,4,2,1209
W11237,2,1,2,2328
W11238,62,25,53,34881
W11239,3,1,2,1819
W11242,16,12,17,9600
W11243,38,18,13,16264
W11244,13,12,12,9216
W11246,130,25,29,16636
W11247,32,18,39,17088
W11248,4,2,1,529
W11249,5,2,3,1882
W11250,9,4,2,2133
W11251,8,5,4,5981
W11252,12,15,4,6331
W11253,11,9,5,6729
W11254,56,17,43,22350
W11255,5,2,1,504
W11256,3,9,8,6872
W11257,7,9,3,707
W11259,57,15,17,11632
W11260,28,17,29,16818
W11261,2,3,1,649
W11262,8,9,8,3532
W11263,7,6,3,1641
W11264,22,16,15,7183
W11265,17,14,27,11199
W11266,16,10,9,6489
W11267,7,5,4,1940
W11270,138,39,210,134219
W11272,21,13,15,7104
W11274,98,34,163,99280
W11276,166,28,129,62272
W11277,1073,30,151,81495
W11278,41,25,89,39365
W11279,4,1,1,523
W11282,84,32,78,67619
W11283,5,1,3,2179
W11285,21,23,61,28591
W11286,97,29,91,50551
W11287,2,1,2,1542
W11288,9,11,2,2419
W11289,23,14,5,2435
W11290,15,15,19,10224
W11291,3,1,1,1468
W11292,2,1,7,9369
W11293,6,6,4,5266
W11295,30,20,7,3361
W11297,471,43,519,249469
W11298,25,20,30,15179
W11300,22,13,19,11632
W11301,2,5,2,3132
W11303,35,21,51,34636
W11304,4,8,10,5360
W11305,5,7,2,2783
W11307,65,28,63,61560
W11308,27,22,48,30273
W11309,72,24,43,33875
W11310,12,8,3,3369
W11312,6,12,10,8499
W11313,198,35,179,121568
W11314,438,45,672,480388
W11315,1297,48,1251,715867
W11316,62,31,112,71702
W11317,22,17,22,12313
W11318,29,12,1,1413
W11319,2,6,1,1496
W11320,13,13,18,8910
W11322,34,23,25,24195
W11323,4,13,19,9195
W11324,23,25,52,34043
W11325,129,26,137,58414
W11326,4,4,2,823
W11329,5,1,1,459
W11330,5,5,8,2846
W11331,7,12,16,8858
W11332,3,1,1,236
W11333,9,3,4,1871
W11334,48,21,61,35633
W11335,6,6,7,4061
W11336,8,10,1,1704
W11337,433,43,569,289094
W11338,2,6,2,2378
W11339,8,11,9,6755
W11340,20,15,1,1377
W11342,50,29,97,72225
W11346,3,3,3,491
W11347,178,27,114,64250
W11348,108,22,62,33711
W11349,6,5,3,2007
W11350,6,1,1,89
W11354,209,36,255,120534
W11355,2,1,1,1567
W11356,9,1,1,597
W11357,20,16,15,8875
W11358,2472,48,1456,682371
W11359,14,17,16,15035
W11360,2,1,3,4387
W11361,9,11,25,6474
W11362,12,12,7,4302
W11363,1,1,1,458
W11364,47,20,42,24385
W11366,3,1,1,187
W11367,66,23,118,59130
W11368,30,16,15,10941
W11370,3,3,2,1196
